complaint_id,complaint_timestamp,purchase_date,purchase_time,venue_id,venue_name,venue_type,anonymised_complaint_text,symptoms,symptom_onset_hours,food_item,meal_type,inspection_date,inspection_score,inspection_status,previous_violation,location_zone,vulnerable_area_flag,duplicate_group_id,ground_truth_cluster_id
CMP-10014,2026-07-07 06:15:34,2026-07-06,22:26:22,VEN-001,Golden Spice Biryani House,Restaurant,Ordered chicken biryani from Golden Spice Biryani. My whole family had vomiting and cramps after dinner.,"Stomach Cramps, Vomiting, Mild Fever",7.3,Chicken Biryani,Dinner,2026-06-20,62.0,FAIL,Improper Refrigeration Temp,Zone-1 North,1,DUP-A-2,OUTBREAK-A-BIRYANI
CMP-10015,2026-07-08 05:32:35,2026-07-08,01:24:13,VEN-001,Golden Spice Biryani House,Restaurant,Ate chicken biryani around 1pm at Golden Spice Biryani House. Developed violent vomiting and stomach cramps by 8pm.,"Stomach Cramps, Vomiting, Nausea",7.0,Chicken Biryani,Lunch,2026-06-20,62.0,FAIL,Improper Refrigeration Temp,Zone-1 North,1,DUP-A-2,OUTBREAK-A-BIRYANI
CMP-10016,2026-07-07 05:48:16,2026-07-06,20:09:05,VEN-001,Golden Spice Biryani House,Restaurant,"Got take-out biryani from Golden Spice. Experienced diarrhea, nausea, and vomiting within 6 hours of eating.","Diarrhea, Stomach Cramps, Nausea",6.0,Chicken Biryani,Lunch,2026-06-20,62.0,FAIL,Improper Refrigeration Temp,Zone-1 North,1,NONE,OUTBREAK-A-BIRYANI
CMP-10017,2026-07-06 23:19:21,2026-07-06,15:39:48,VEN-001,Golden Spice Biryani House,Restaurant,Had chicken biryani for lunch at Golden Spice. Started vomiting and had severe diarrhea later that evening.,"Vomiting, Mild Fever, Diarrhea",7.1,Chicken Biryani,Dinner,2026-06-20,62.0,FAIL,Improper Refrigeration Temp,Zone-1 North,1,DUP-A-3,OUTBREAK-A-BIRYANI
CMP-10018,2026-07-07 01:49:01,2026-07-06,17:57:24,VEN-001,Golden Spice Biryani House,Restaurant,Ate chicken biryani meal at Golden Spice House. Sick all night with nausea and diarrhea.,"Mild Fever, Vomiting, Nausea",4.3,Chicken Biryani,Lunch,2026-06-20,62.0,FAIL,Improper Refrigeration Temp,Zone-1 North,1,DUP-A-3,OUTBREAK-A-BIRYANI
CMP-10019,2026-07-07 15:38:28,2026-07-07,03:27:38,VEN-001,Golden Spice Biryani House,Restaurant,Ordered chicken biryani from Golden Spice Biryani. My whole family had vomiting and cramps after dinner.,"Mild Fever, Diarrhea, Nausea",4.5,Chicken Biryani,Dinner,2026-06-20,62.0,FAIL,Improper Refrigeration Temp,Zone-1 North,1,DUP-A-3,OUTBREAK-A-BIRYANI
CMP-10020,2026-07-07 09:07:38,2026-07-06,19:51:48,VEN-001,Golden Spice Biryani House,Restaurant,Had chicken biryani for lunch at Golden Spice. Started vomiting and had severe diarrhea later that evening.,"Stomach Cramps, Diarrhea, Mild Fever",5.0,Chicken Biryani,Lunch,2026-06-20,62.0,FAIL,Improper Refrigeration Temp,Zone-1 North,1,DUP-A-3,OUTBREAK-A-BIRYANI
CMP-10021,2026-07-07 08:43:56,2026-07-06,23:34:25,VEN-001,Golden Spice Biryani House,Restaurant,Ate chicken biryani meal at Golden Spice House. Sick all night with nausea and diarrhea.,"Mild Fever, Diarrhea, Vomiting",7.5,Chicken Biryani,Lunch,2026-06-20,62.0,FAIL,Improper Refrigeration Temp,Zone-1 North,1,NONE,OUTBREAK-A-BIRYANI
CMP-10022,2026-07-08 03:43:51,2026-07-08,00:27:30,VEN-001,Golden Spice Biryani House,Restaurant,Had chicken biryani for lunch at Golden Spice. Started vomiting and had severe diarrhea later that evening.,"Nausea, Diarrhea, Mild Fever",4.6,Chicken Biryani,Lunch,2026-06-20,62.0,FAIL,Improper Refrigeration Temp,Zone-1 North,1,DUP-A-4,OUTBREAK-A-BIRYANI
CMP-10023,2026-07-07 09:46:17,2026-07-07,06:20:43,VEN-001,Golden Spice Biryani House,Restaurant,Ate chicken biryani meal at Golden Spice House. Sick all night with nausea and diarrhea.,"Diarrhea, Mild Fever, Nausea",5.4,Chicken Biryani,Lunch,2026-06-20,62.0,FAIL,Improper Refrigeration Temp,Zone-1 North,1,DUP-A-4,OUTBREAK-A-BIRYANI
CMP-10024,2026-07-07 04:01:30,2026-07-06,17:45:53,VEN-001,Golden Spice Biryani House,Restaurant,Ate chicken biryani meal at Golden Spice House. Sick all night with nausea and diarrhea.,"Stomach Cramps, Mild Fever, Vomiting",7.9,Chicken Biryani,Dinner,2026-06-20,62.0,FAIL,Improper Refrigeration Temp,Zone-1 North,1,DUP-A-4,OUTBREAK-A-BIRYANI
CMP-10025,2026-07-07 08:38:28,2026-07-07,00:02:16,VEN-001,Golden Spice Biryani House,Restaurant,Ordered chicken biryani from Golden Spice Biryani. My whole family had vomiting and cramps after dinner.,"Stomach Cramps, Vomiting, Nausea",7.5,Chicken Biryani,Dinner,2026-06-20,62.0,FAIL,Improper Refrigeration Temp,Zone-1 North,1,DUP-A-4,OUTBREAK-A-BIRYANI
CMP-10026,2026-07-07 02:25:42,2026-07-06,12:50:26,VEN-001,Golden Spice Biryani House,Restaurant,"Got take-out biryani from Golden Spice. Experienced diarrhea, nausea, and vomiting within 6 hours of eating.","Vomiting, Mild Fever, Stomach Cramps",5.7,Chicken Biryani,Dinner,2026-06-20,62.0,FAIL,Improper Refrigeration Temp,Zone-1 North,1,NONE,OUTBREAK-A-BIRYANI
CMP-10027,2026-07-07 11:42:36,2026-07-06,21:53:00,VEN-001,Golden Spice Biryani House,Restaurant,Had chicken biryani for lunch at Golden Spice. Started vomiting and had severe diarrhea later that evening.,"Nausea, Diarrhea, Mild Fever",4.2,Chicken Biryani,Dinner,2026-06-20,62.0,FAIL,Improper Refrigeration Temp,Zone-1 North,1,DUP-A-5,OUTBREAK-A-BIRYANI
CMP-10028,2026-07-06 20:03:39,2026-07-06,06:52:46,VEN-001,Golden Spice Biryani House,Restaurant,Ordered chicken biryani from Golden Spice Biryani. My whole family had vomiting and cramps after dinner.,"Diarrhea, Stomach Cramps, Mild Fever",4.3,Chicken Biryani,Dinner,2026-06-20,62.0,FAIL,Improper Refrigeration Temp,Zone-1 North,1,DUP-A-5,OUTBREAK-A-BIRYANI
CMP-10029,2026-07-07 18:26:00,2026-07-07,08:08:10,VEN-001,Golden Spice Biryani House,Restaurant,Had chicken biryani for lunch at Golden Spice. Started vomiting and had severe diarrhea later that evening.,"Stomach Cramps, Mild Fever, Nausea",5.6,Chicken Biryani,Dinner,2026-06-20,62.0,FAIL,Improper Refrigeration Temp,Zone-1 North,1,DUP-A-5,OUTBREAK-A-BIRYANI
CMP-10030,2026-07-07 21:05:58,2026-07-07,12:00:03,VEN-001,Golden Spice Biryani House,Restaurant,Ate chicken biryani around 1pm at Golden Spice Biryani House. Developed violent vomiting and stomach cramps by 8pm.,"Nausea, Mild Fever, Stomach Cramps",7.0,Chicken Biryani,Lunch,2026-06-20,62.0,FAIL,Improper Refrigeration Temp,Zone-1 North,1,DUP-A-5,OUTBREAK-A-BIRYANI
CMP-10031,2026-07-07 18:09:30,2026-07-07,11:50:53,VEN-001,Golden Spice Biryani House,Restaurant,Ordered chicken biryani from Golden Spice Biryani. My whole family had vomiting and cramps after dinner.,"Vomiting, Stomach Cramps, Diarrhea",4.8,Chicken Biryani,Dinner,2026-06-20,62.0,FAIL,Improper Refrigeration Temp,Zone-1 North,1,NONE,OUTBREAK-A-BIRYANI
CMP-10032,2026-07-07 12:44:22,2026-07-07,04:52:32,VEN-001,Golden Spice Biryani House,Restaurant,Had chicken biryani for lunch at Golden Spice. Started vomiting and had severe diarrhea later that evening.,"Mild Fever, Nausea, Stomach Cramps",4.7,Chicken Biryani,Lunch,2026-06-20,62.0,FAIL,Improper Refrigeration Temp,Zone-1 North,1,DUP-A-6,OUTBREAK-A-BIRYANI
CMP-10033,2026-07-07 06:12:58,2026-07-06,19:54:50,VEN-001,Golden Spice Biryani House,Restaurant,Ordered chicken biryani from Golden Spice Biryani. My whole family had vomiting and cramps after dinner.,"Stomach Cramps, Vomiting, Nausea",6.7,Chicken Biryani,Lunch,2026-06-20,62.0,FAIL,Improper Refrigeration Temp,Zone-1 North,1,DUP-A-6,OUTBREAK-A-BIRYANI
CMP-10034,2026-07-08 01:02:10,2026-07-07,20:24:55,VEN-001,Golden Spice Biryani House,Restaurant,Had chicken biryani for lunch at Golden Spice. Started vomiting and had severe diarrhea later that evening.,"Diarrhea, Nausea, Stomach Cramps",7.4,Chicken Biryani,Lunch,2026-06-20,62.0,FAIL,Improper Refrigeration Temp,Zone-1 North,1,DUP-A-6,OUTBREAK-A-BIRYANI
CMP-10035,2026-07-07 12:23:41,2026-07-06,23:38:50,VEN-001,Golden Spice Biryani House,Restaurant,Ordered chicken biryani from Golden Spice Biryani. My whole family had vomiting and cramps after dinner.,"Diarrhea, Nausea, Mild Fever",5.6,Chicken Biryani,Lunch,2026-06-20,62.0,FAIL,Improper Refrigeration Temp,Zone-1 North,1,DUP-A-6,OUTBREAK-A-BIRYANI
CMP-10036,2026-07-07 19:37:05,2026-07-07,16:33:25,VEN-001,Golden Spice Biryani House,Restaurant,Had chicken biryani for lunch at Golden Spice. Started vomiting and had severe diarrhea later that evening.,"Nausea, Diarrhea, Vomiting",7.2,Chicken Biryani,Dinner,2026-06-20,62.0,FAIL,Improper Refrigeration Temp,Zone-1 North,1,NONE,OUTBREAK-A-BIRYANI
CMP-10037,2026-07-06 21:48:28,2026-07-06,16:04:00,VEN-001,Golden Spice Biryani House,Restaurant,Had chicken biryani for lunch at Golden Spice. Started vomiting and had severe diarrhea later that evening.,"Nausea, Diarrhea, Mild Fever",6.7,Chicken Biryani,Dinner,2026-06-20,62.0,FAIL,Improper Refrigeration Temp,Zone-1 North,1,DUP-A-7,OUTBREAK-A-BIRYANI
CMP-10038,2026-07-08 06:12:05,2026-07-07,17:23:44,VEN-001,Golden Spice Biryani House,Restaurant,Ordered chicken biryani from Golden Spice Biryani. My whole family had vomiting and cramps after dinner.,"Mild Fever, Nausea, Stomach Cramps",5.8,Chicken Biryani,Lunch,2026-06-20,62.0,FAIL,Improper Refrigeration Temp,Zone-1 North,1,DUP-A-7,OUTBREAK-A-BIRYANI
CMP-10039,2026-07-07 22:46:17,2026-07-07,14:33:00,VEN-001,Golden Spice Biryani House,Restaurant,"Got take-out biryani from Golden Spice. Experienced diarrhea, nausea, and vomiting within 6 hours of eating.","Diarrhea, Stomach Cramps, Nausea",5.9,Chicken Biryani,Lunch,2026-06-20,62.0,FAIL,Improper Refrigeration Temp,Zone-1 North,1,DUP-A-7,OUTBREAK-A-BIRYANI
CMP-10040,2026-07-07 05:53:07,2026-07-07,02:01:59,VEN-001,Golden Spice Biryani House,Restaurant,"Got take-out biryani from Golden Spice. Experienced diarrhea, nausea, and vomiting within 6 hours of eating.","Diarrhea, Stomach Cramps, Mild Fever",5.3,Chicken Biryani,Lunch,2026-06-20,62.0,FAIL,Improper Refrigeration Temp,Zone-1 North,1,DUP-A-7,OUTBREAK-A-BIRYANI
CMP-10041,2026-07-07 00:58:53,2026-07-06,19:26:15,VEN-001,Golden Spice Biryani House,Restaurant,Ate chicken biryani around 1pm at Golden Spice Biryani House. Developed violent vomiting and stomach cramps by 8pm.,"Diarrhea, Vomiting, Mild Fever",5.6,Chicken Biryani,Dinner,2026-06-20,62.0,FAIL,Improper Refrigeration Temp,Zone-1 North,1,NONE,OUTBREAK-A-BIRYANI
CMP-10042,2026-07-07 10:58:04,2026-07-07,05:41:33,VEN-001,Golden Spice Biryani House,Restaurant,Had chicken biryani for lunch at Golden Spice. Started vomiting and had severe diarrhea later that evening.,"Nausea, Vomiting, Stomach Cramps",5.5,Chicken Biryani,Lunch,2026-06-20,62.0,FAIL,Improper Refrigeration Temp,Zone-1 North,1,DUP-A-8,OUTBREAK-A-BIRYANI
CMP-10043,2026-07-08 05:56:19,2026-07-07,23:39:14,VEN-001,Golden Spice Biryani House,Restaurant,Ate chicken biryani meal at Golden Spice House. Sick all night with nausea and diarrhea.,"Nausea, Diarrhea, Mild Fever",4.9,Chicken Biryani,Dinner,2026-06-20,62.0,FAIL,Improper Refrigeration Temp,Zone-1 North,1,DUP-A-8,OUTBREAK-A-BIRYANI
CMP-10044,2026-07-07 13:28:59,2026-07-07,06:12:20,VEN-001,Golden Spice Biryani House,Restaurant,Ate chicken biryani meal at Golden Spice House. Sick all night with nausea and diarrhea.,"Diarrhea, Nausea, Vomiting",7.9,Chicken Biryani,Lunch,2026-06-20,62.0,FAIL,Improper Refrigeration Temp,Zone-1 North,1,DUP-A-8,OUTBREAK-A-BIRYANI
CMP-10045,2026-07-08 04:38:57,2026-07-07,19:08:19,VEN-001,Golden Spice Biryani House,Restaurant,Had chicken biryani for lunch at Golden Spice. Started vomiting and had severe diarrhea later that evening.,"Vomiting, Nausea, Mild Fever",7.5,Chicken Biryani,Lunch,2026-06-20,62.0,FAIL,Improper Refrigeration Temp,Zone-1 North,1,DUP-A-8,OUTBREAK-A-BIRYANI
CMP-10046,2026-07-14 03:30:30,2026-07-13,16:12:03,VEN-002,Oceanic Seafood Buffet,Buffet,"Had seafood dinner at Oceanic Seafood Buffet. Got extremely sick with fever, chills, and stomach cramps.","Chills, High Fever, Vomiting, Abdominal Pain",10.2,Seafood Platter,Dinner,2026-06-15,58.0,FAIL,Cross Contamination & Raw Storage,Zone-4 Harbor,0,NONE,OUTBREAK-B-SEAFOOD
CMP-10047,2026-07-14 09:34:05,2026-07-14,02:25:17,VEN-002,Oceanic Seafood Buffet,Buffet,"Ate raw oysters and prawns at Oceanic Seafood Buffet. Experienced severe diarrhea, high fever, and vomiting.","Abdominal Pain, Severe Diarrhea, Vomiting, Chills",13.2,Garlic Shrimp,Dinner,2026-06-15,58.0,FAIL,Cross Contamination & Raw Storage,Zone-4 Harbor,0,NONE,OUTBREAK-B-SEAFOOD
CMP-10048,2026-07-14 03:12:27,2026-07-13,20:46:23,VEN-002,Oceanic Seafood Buffet,Buffet,"Had seafood dinner at Oceanic Seafood Buffet. Got extremely sick with fever, chills, and stomach cramps.","Vomiting, Severe Diarrhea, High Fever, Chills",9.9,Seafood Platter,Dinner,2026-06-15,58.0,FAIL,Cross Contamination & Raw Storage,Zone-4 Harbor,0,NONE,OUTBREAK-B-SEAFOOD
CMP-10049,2026-07-14 22:05:01,2026-07-14,08:11:17,VEN-002,Oceanic Seafood Buffet,Buffet,"Had seafood dinner at Oceanic Seafood Buffet. Got extremely sick with fever, chills, and stomach cramps.","Chills, High Fever, Vomiting, Severe Diarrhea",12.8,Garlic Shrimp,Dinner,2026-06-15,58.0,FAIL,Cross Contamination & Raw Storage,Zone-4 Harbor,0,NONE,OUTBREAK-B-SEAFOOD
CMP-10050,2026-07-14 23:33:02,2026-07-14,06:39:41,VEN-002,Oceanic Seafood Buffet,Buffet,"Had seafood dinner at Oceanic Seafood Buffet. Got extremely sick with fever, chills, and stomach cramps.","High Fever, Severe Diarrhea, Abdominal Pain, Chills",15.4,Garlic Shrimp,Dinner,2026-06-15,58.0,FAIL,Cross Contamination & Raw Storage,Zone-4 Harbor,0,NONE,OUTBREAK-B-SEAFOOD
CMP-10051,2026-07-14 22:19:13,2026-07-14,02:54:21,VEN-002,Oceanic Seafood Buffet,Buffet,"Oysters and crab legs at Oceanic Seafood. Severe abdominal pain, diarrhea, and high fever started overnight.","Vomiting, Severe Diarrhea, High Fever, Chills",8.8,Seafood Platter,Dinner,2026-06-15,58.0,FAIL,Cross Contamination & Raw Storage,Zone-4 Harbor,0,NONE,OUTBREAK-B-SEAFOOD
CMP-10052,2026-07-15 03:30:31,2026-07-14,13:06:10,VEN-002,Oceanic Seafood Buffet,Buffet,"Ate raw oysters and prawns at Oceanic Seafood Buffet. Experienced severe diarrhea, high fever, and vomiting.","Abdominal Pain, Severe Diarrhea, Vomiting, High Fever",13.3,Raw Oysters,Dinner,2026-06-15,58.0,FAIL,Cross Contamination & Raw Storage,Zone-4 Harbor,0,NONE,OUTBREAK-B-SEAFOOD
CMP-10053,2026-07-14 17:10:43,2026-07-14,06:24:05,VEN-002,Oceanic Seafood Buffet,Buffet,"Oysters and crab legs at Oceanic Seafood. Severe abdominal pain, diarrhea, and high fever started overnight.","Chills, Severe Diarrhea, Vomiting, High Fever",13.1,Seafood Platter,Dinner,2026-06-15,58.0,FAIL,Cross Contamination & Raw Storage,Zone-4 Harbor,0,NONE,OUTBREAK-B-SEAFOOD
CMP-10054,2026-07-14 23:13:09,2026-07-14,11:07:20,VEN-002,Oceanic Seafood Buffet,Buffet,Dined at Oceanic Buffet evening. Raw oysters tasted warm. Violent food poisoning symptoms followed.,"Abdominal Pain, Chills, Vomiting, High Fever",14.6,Garlic Shrimp,Dinner,2026-06-15,58.0,FAIL,Cross Contamination & Raw Storage,Zone-4 Harbor,0,NONE,OUTBREAK-B-SEAFOOD
CMP-10055,2026-07-14 10:03:06,2026-07-13,16:07:40,VEN-002,Oceanic Seafood Buffet,Buffet,"Ate raw oysters and prawns at Oceanic Seafood Buffet. Experienced severe diarrhea, high fever, and vomiting.","High Fever, Chills, Severe Diarrhea, Vomiting",12.6,Garlic Shrimp,Dinner,2026-06-15,58.0,FAIL,Cross Contamination & Raw Storage,Zone-4 Harbor,0,NONE,OUTBREAK-B-SEAFOOD
CMP-10056,2026-07-14 13:22:10,2026-07-14,06:58:04,VEN-002,Oceanic Seafood Buffet,Buffet,Dined at Oceanic Buffet evening. Raw oysters tasted warm. Violent food poisoning symptoms followed.,"Vomiting, Chills, Severe Diarrhea, Abdominal Pain",14.4,Seafood Platter,Dinner,2026-06-15,58.0,FAIL,Cross Contamination & Raw Storage,Zone-4 Harbor,0,NONE,OUTBREAK-B-SEAFOOD
CMP-10057,2026-07-14 10:23:23,2026-07-13,20:02:36,VEN-002,Oceanic Seafood Buffet,Buffet,Dined at Oceanic Buffet evening. Raw oysters tasted warm. Violent food poisoning symptoms followed.,"Abdominal Pain, Severe Diarrhea, High Fever, Chills",8.7,Garlic Shrimp,Dinner,2026-06-15,58.0,FAIL,Cross Contamination & Raw Storage,Zone-4 Harbor,0,NONE,OUTBREAK-B-SEAFOOD
CMP-10058,2026-07-14 14:11:34,2026-07-14,00:25:13,VEN-002,Oceanic Seafood Buffet,Buffet,"Had seafood dinner at Oceanic Seafood Buffet. Got extremely sick with fever, chills, and stomach cramps.","Chills, Abdominal Pain, Vomiting, Severe Diarrhea",8.7,Raw Oysters,Dinner,2026-06-15,58.0,FAIL,Cross Contamination & Raw Storage,Zone-4 Harbor,0,NONE,OUTBREAK-B-SEAFOOD
CMP-10059,2026-07-14 14:07:55,2026-07-14,04:43:32,VEN-002,Oceanic Seafood Buffet,Buffet,Dined at Oceanic Buffet evening. Raw oysters tasted warm. Violent food poisoning symptoms followed.,"Chills, High Fever, Vomiting, Abdominal Pain",10.8,Seafood Platter,Dinner,2026-06-15,58.0,FAIL,Cross Contamination & Raw Storage,Zone-4 Harbor,0,NONE,OUTBREAK-B-SEAFOOD
CMP-10060,2026-07-14 10:07:38,2026-07-14,00:36:28,VEN-002,Oceanic Seafood Buffet,Buffet,"Ate raw oysters and prawns at Oceanic Seafood Buffet. Experienced severe diarrhea, high fever, and vomiting.","Vomiting, High Fever, Severe Diarrhea, Chills",9.5,Garlic Shrimp,Dinner,2026-06-15,58.0,FAIL,Cross Contamination & Raw Storage,Zone-4 Harbor,0,NONE,OUTBREAK-B-SEAFOOD
CMP-10061,2026-07-14 16:31:33,2026-07-14,00:22:54,VEN-002,Oceanic Seafood Buffet,Buffet,Dined at Oceanic Buffet evening. Raw oysters tasted warm. Violent food poisoning symptoms followed.,"Severe Diarrhea, Vomiting, Chills, Abdominal Pain",10.9,Seafood Platter,Dinner,2026-06-15,58.0,FAIL,Cross Contamination & Raw Storage,Zone-4 Harbor,0,NONE,OUTBREAK-B-SEAFOOD
CMP-10062,2026-07-14 02:25:28,2026-07-13,12:56:47,VEN-002,Oceanic Seafood Buffet,Buffet,Dined at Oceanic Buffet evening. Raw oysters tasted warm. Violent food poisoning symptoms followed.,"Severe Diarrhea, Abdominal Pain, High Fever, Vomiting",13.6,Raw Oysters,Dinner,2026-06-15,58.0,FAIL,Cross Contamination & Raw Storage,Zone-4 Harbor,0,NONE,OUTBREAK-B-SEAFOOD
CMP-10063,2026-07-14 21:08:09,2026-07-14,04:35:49,VEN-002,Oceanic Seafood Buffet,Buffet,"Ate raw oysters and prawns at Oceanic Seafood Buffet. Experienced severe diarrhea, high fever, and vomiting.","Severe Diarrhea, High Fever, Vomiting, Chills",11.5,Raw Oysters,Dinner,2026-06-15,58.0,FAIL,Cross Contamination & Raw Storage,Zone-4 Harbor,0,NONE,OUTBREAK-B-SEAFOOD
CMP-10064,2026-07-15 06:57:53,2026-07-14,21:25:48,VEN-002,Oceanic Seafood Buffet,Buffet,"Oysters and crab legs at Oceanic Seafood. Severe abdominal pain, diarrhea, and high fever started overnight.","Severe Diarrhea, Abdominal Pain, Vomiting, High Fever",8.6,Garlic Shrimp,Dinner,2026-06-15,58.0,FAIL,Cross Contamination & Raw Storage,Zone-4 Harbor,0,NONE,OUTBREAK-B-SEAFOOD
CMP-10065,2026-07-14 22:35:36,2026-07-14,14:28:09,VEN-002,Oceanic Seafood Buffet,Buffet,Dined at Oceanic Buffet evening. Raw oysters tasted warm. Violent food poisoning symptoms followed.,"Severe Diarrhea, Vomiting, Abdominal Pain, Chills",12.9,Garlic Shrimp,Dinner,2026-06-15,58.0,FAIL,Cross Contamination & Raw Storage,Zone-4 Harbor,0,NONE,OUTBREAK-B-SEAFOOD
CMP-10066,2026-07-14 08:46:14,2026-07-13,19:27:16,VEN-002,Oceanic Seafood Buffet,Buffet,"Oysters and crab legs at Oceanic Seafood. Severe abdominal pain, diarrhea, and high fever started overnight.","Chills, High Fever, Abdominal Pain, Vomiting",10.4,Garlic Shrimp,Dinner,2026-06-15,58.0,FAIL,Cross Contamination & Raw Storage,Zone-4 Harbor,0,NONE,OUTBREAK-B-SEAFOOD
